Country,Global Food Security Index 2020 (GFSI),Human Development Index (HDI),Corruption Perceptions Index (CI),GDP per capita in USD (GDP),Environmental Perfomance Index (EPI),Consumer Price Index (CPI)
Pakistan,52.3,0.543,31,1376.512,33.1,200.078979
Panama,68.9,0.801,35,13342.72,47.3,120.1751852
Paraguay,60.5,0.730,28,4885.396,46.4,146.3631008
Peru,65.7,0.762,38,6150.898,44,132.8993893
Philippines,55.7,0.710,34,3325.836,38.4,132.7240609
Poland,73.5,0.876,56,15792.61,60.9,117.9624468
Portugal,75.7,0.863,61,22224.56,67,110.6105988
Qatar,69.6,0.854,63,50962.5,37.1,112.4498127
Romania,74.2,0.824,44,13021.96,64.7,127.0371357
Russia,73.7,0.830,30,10180.66,50.5,186.8626219
Rwanda,38.8,0.532,54,803.372,33.8,165.9473204
Saudi Arabia,69.5,0.870,53,23271.41,44,122.479242
Senegal,46.4,0.513,45,1465.244,30.7,112.0313928
Serbia,63.2,0.804,38,7733.803,55.2,146.2663027
Sierra Leone,37.0,0.475,33,508.812,25.7,265.6482684
Singapore,75.7,0.939,85,61274.01,58.1,114.1976627
Slovakia,69.2,0.857,49,19539.38,68.3,117.5730362
South Africa,57.8,0.727,44,5672.278,43.1,164.0375312
South Korea,72.1,0.922,61,31728.31,66.5,115.7773678
Spain,73.4,0.899,62,26968.37,74.3,110.6033122
Sri Lanka,54.8,0.780,38,3852.39,39,165.1000451
Sudan,36.0,0.510,16,777.259,34.8,3538.692057
Sweden,78.1,0.942,85,52706.29,78.7,111.0588566
Switzerland,77.7,0.956,85,86109.53,81.5,98.82431041
Syria,40.0,0.577,14,-,-,-
Tajikistan,49.4,0.664,25,858.445,38.2,-
Tanzania,47.1,0.548,38,1130.141,31.1,193.5971559
Thailand,64.0,0.802,36,7169.877,45.4,112.3074938
Togo,44.9,0.535,29,876.511,29.5,115.2221666
Tunisia,61.4,0.737,44,3573.836,46.7,164.0766398
Turkey,65.3,0.833,40,8612.903,42.6,263.2235613
Uganda,42.9,0.524,27,920.065,35.6,181.882451
Ukraine,63.0,0.775,33,3780.075,49.5,289.3548945
United Arab Emirates,68.3,0.912,71,37648.96,55.6,112.1432311
United Kingdom,78.5,0.924,77,40347.36,81.3,120.8063621
United States,77.5,0.920,67,63577.34,69.3,118.6905016
Uruguay,71.4,0.821,71,15198.37,49.1,222.7198767
Uzbekistan,50.9,0.721,26,1776.267,44.3,320.2718242
Venezuela,42.8,0.695,15,1566.602,50.3,-
Vietnam,60.3,0.710,36,3548.892,33.4,168.7837215
Yemen,35.7,0.460,15,633.311,-,-
Zambia,36.6,0.570,33,956.832,34.7,245.7114244
